"phibase_id","uniprot_a","ensembl_a","taxid_species_a","organism_a","taxid_strain_a","strain_a","uniprot_matches_a","modification_a","uniprot_b","ensembl_b","taxid_species_b","organism_b","taxid_strain_b","strain_b","uniprot_matches_b","modification_b","phenotype","disease","host_tissue","evidence_code","interaction_type","pmid","high_level_terms"
"PHI:8631","J4VW09",,176275,"Beauveria bassiana",,"Bb2860","none","gene deletion: partial",,,51655,"Plutella xylostella",,,"none",,"PHIPO:0000015","PHIDO:0000394","BTO:0000707","gene complementation","interspecies interaction",30443979,"Reduced virulence"
"PHI:8633","A0A0H3MFV9",,562,"Escherichia coli",,"DE17","none","gene deletion: partial",,,9031,"Gallus gallus",,"UMNSAH/DF-1 cell line","none",,"PHIPO:0000015","PHIDO:0000022","BTO:0001958","gene complementation","interspecies interaction",30553014,"Reduced virulence"
"PHI:8633","A0A0H3MFV9",,562,"Escherichia coli",,"DE17","none","gene deletion: partial",,,8839,"Anas platyrhynchos",,"Cherry Valley","none",,"PHIPO:0000015","PHIDO:0000022","BTO:0000089; BTO:0000671; BTO:0000759; BTO:0001281","gene complementation","interspecies interaction",30553014,"Reduced virulence"
"PHI:8634","Q4Q597",,5664,"Leishmania major",347515,"MHOM/IL/80/Friedlin","none","gene deletion: full",,,10090,"Mus musculus",,"C57BL/6J","none",,"PHIPO:0000015","PHIDO:0000214","BTO:0000476; BTO:0000801","gene complementation","interspecies interaction",30372439,"Reduced virulence"
"PHI:8634","Q4Q597",,5664,"Leishmania major",347515,"MHOM/IL/80/Friedlin","none","gene deletion: full",,,10090,"Mus musculus",,"BALB/cJ","none",,"PHIPO:0000015","PHIDO:0000214","BTO:0000476","gene complementation","interspecies interaction",30372439,"Reduced virulence"
"PHI:8635","P0C0B3",,1314,"Streptococcus pyogenes",,"M49-16","none","gene deletion: partial",,,10090,"Mus musculus",,"(C57BL x CBA)F1","none",,"PHIPO:0000015",,"BTO:0000089; BTO:0000784; BTO:0001281; BTO:0001374; BTO:0004525",,"interspecies interaction",30471128,"Reduced virulence"
"PHI:8636","A0A0U2P760",,347,"Xanthomonas oryzae",360094,"pv. oryzae strain PXO99","none","gene deletion: full",,,4530,"Oryza sativa",,"IR24 line","none",,"PHIPO:0000015","PHIDO:0000028","BTO:0000713","gene complementation","interspecies interaction",30372574,"Reduced virulence"
"PHI:8637","A0A0U4VHH3",,347,"Xanthomonas oryzae",360094,"pv. oryzae strain PXO99","none","gene deletion: full",,,4530,"Oryza sativa",,"IR24 line","none",,"PHIPO:0000004","PHIDO:0000028","BTO:0000713","gene complementation","interspecies interaction",30372574,"Unaffected pathogenicity"
"PHI:8638","A0A0J9WX69",,347,"Xanthomonas oryzae",360094,"pv. oryzae strain PXO99","strain","gene deletion: full",,,4530,"Oryza sativa",,"IR24 line","none",,"PHIPO:0000004","PHIDO:0000028","BTO:0000713","gene complementation","interspecies interaction",30372574,"Unaffected pathogenicity"
"PHI:8639","A0A0K0GLJ4",,347,"Xanthomonas oryzae",360094,"pv. oryzae strain PXO99","strain","gene deletion: full",,,4530,"Oryza sativa",,"IR24 line","none",,"PHIPO:0000004","PHIDO:0000028","BTO:0000713","gene complementation","interspecies interaction",30372574,"Unaffected pathogenicity"
"PHI:8640","P25084",,287,"Pseudomonas aeruginosa",652611,"PA14","none","gene deletion: full",,,10090,"Mus musculus",,"BALB/c","none",,"PHIPO:0000004","PHIDO:0000259","BTO:0004525",,"interspecies interaction",30411474,"Unaffected pathogenicity"
"PHI:8643","D4I3P5",,552,"Erwinia amylovora",,"Ea1189","none","gene mutation; gene complementation",,,23211,"Pyrus communis",,"cv. Bartlett","none",,"PHIPO:0000004","PHIDO:0000148","BTO:0000486",,"interspecies interaction",30366999,"Unaffected pathogenicity"
"PHI:8644","D4I4B4",,552,"Erwinia amylovora",,"Ea1189","none","gene mutation; gene complementation",,,23211,"Pyrus communis",,"cv. Bartlett","none",,"PHIPO:0000004","PHIDO:0000148","BTO:0000486",,"interspecies interaction",30366999,"Unaffected pathogenicity"
"PHI:8643","D4I3P5",,552,"Erwinia amylovora",,"Ea1189","none","gene mutation; gene complementation",,,3750,"Malus domestica",,"cv. Gala","none",,"PHIPO:0000004","PHIDO:0000148","BTO:0000713",,"interspecies interaction",30366999,"Unaffected pathogenicity"
"PHI:8644","D4I4B4",,552,"Erwinia amylovora",,"Ea1189","none","gene mutation; gene complementation",,,3750,"Malus domestica",,"cv. Gala","none",,"PHIPO:0000004","PHIDO:0000148","BTO:0000713",,"interspecies interaction",30366999,"Unaffected pathogenicity"
"PHI:8645","I1R9K2",,5518,"Fusarium graminearum",229533,"PH-1","strain","gene deletion: full",,,4565,"Triticum aestivum",,"cv. Zhengmai","none",,"PHIPO:0000015; PHIPO:0000410; PHIPO:0000051","PHIDO:0000163","BTO:0002119","gene complementation","interspecies interaction",30474697,"Reduced virulence"
"PHI:8646","A0A0E0S4Y7",,5518,"Fusarium graminearum",229533,"PH-1","strain","gene deletion: full",,,4577,"Zea mays",,,"none",,"PHIPO:0000015; PHIPO:0000410; PHIPO:0000059","PHIDO:0000163","BTO:0001303","gene complementation","interspecies interaction",30474697,"Reduced virulence"
"PHI:8647","Q8XE85",,562,"Escherichia coli",155864,"serotype O157:H7 strain EDL933","none",,,,9606,"Homo sapiens",,"Caco-2 cell line","none",,"PHIPO:0000280","PHIDO:0000142","BTO:0000195","recombinant protein","interspecies interaction",30373243,"Effector"
"PHI:8647","Q8XE85",,562,"Escherichia coli",574521,"serotype O127:H6 strain E2348/69","none",,,,9606,"Homo sapiens",,"Caco-2 cell line","none",,"PHIPO:0000280","PHIDO:0000142","BTO:0000195","recombinant protein","interspecies interaction",30373243,"Effector"
"PHI:8648","G4MSY9",,318829,"Magnaporthe oryzae",,"70-15","none","gene deletion: full",,,4530,"Oryza sativa",,"cv. CO-39","none",,"PHIPO:0000015; PHIPO:0000024; PHIPO:0000057; PHIPO:0000956; PHIPO:0000059","PHIDO:0000315","BTO:0000713","gene complementation","interspecies interaction",30535195,"Reduced virulence"
"PHI:8649","G4MZ21",,318829,"Magnaporthe oryzae",,"70-15","none","gene deletion: full",,,4530,"Oryza sativa",,"cv. CO-39","none",,"PHIPO:0000015; PHIPO:0000024; PHIPO:0000057; PHIPO:0000956; PHIPO:0000059","PHIDO:0000315","BTO:0000713","gene complementation","interspecies interaction",30535195,"Reduced virulence"
"PHI:8650","G4MRQ6",,318829,"Magnaporthe oryzae",,"70-15","none","gene deletion: full",,,4530,"Oryza sativa",,"cv. CO-39","none",,"PHIPO:0000015; PHIPO:0000024; PHIPO:0000057; PHIPO:0000956; PHIPO:0000059","PHIDO:0000315","BTO:0000713","gene complementation","interspecies interaction",30535195,"Reduced virulence"
"PHI:8651","G4NB33",,318829,"Magnaporthe oryzae",,"70-15","none","gene deletion: full",,,4530,"Oryza sativa",,"cv. CO-39","none",,"PHIPO:0000015; PHIPO:0000024; PHIPO:0000057; PHIPO:0000956; PHIPO:0000052","PHIDO:0000315","BTO:0000713","gene complementation","interspecies interaction",30535195,"Reduced virulence"
"PHI:8652","P08179",,562,"Escherichia coli",364106,"UTI89","none","gene deletion: full",,,9606,"Homo sapiens",,"J82 cell line","none",,"PHIPO:0000004","PHIDO:0000001","BTO:0001671","gene complementation","interspecies interaction",30377949,"Unaffected pathogenicity"
"PHI:8653","P33221",,562,"Escherichia coli",364106,"UTI89","none","gene deletion: full",,,9606,"Homo sapiens",,"J82 cell line","none",,"PHIPO:0000004","PHIDO:0000001","BTO:0001671",,"interspecies interaction",30377949,"Unaffected pathogenicity"
"PHI:8652","P08179",,562,"Escherichia coli",364106,"UTI89","none","gene deletion: full",,,10090,"Mus musculus",,"C3H/HeN","none",,"PHIPO:0000004","PHIDO:0000001","BTO:0000123","gene complementation","interspecies interaction",30377949,"Unaffected pathogenicity"
"PHI:8653","P33221",,562,"Escherichia coli",364106,"UTI89","none","gene deletion: full",,,10090,"Mus musculus",,"C3H/HeN","none",,"PHIPO:0000004","PHIDO:0000001","BTO:0000123",,"interspecies interaction",30377949,"Unaffected pathogenicity"
"PHI:8652","P08179",,562,"Escherichia coli",364106,"UTI89","none","gene deletion: full",,,9606,"Homo sapiens",,"THP-1 cell line","none",,"PHIPO:0000004","PHIDO:0000001","BTO:0001370","gene complementation","interspecies interaction",30377949,"Unaffected pathogenicity"
"PHI:8653","P33221",,562,"Escherichia coli",364106,"UTI89","none","gene deletion: full",,,9606,"Homo sapiens",,"THP-1 cell line","none",,"PHIPO:0000004","PHIDO:0000001","BTO:0001370",,"interspecies interaction",30377949,"Unaffected pathogenicity"
"PHI:8654","Q9F496",,204038,"Dickeya dadantii",198628,"EC3937","strain","gene mutation",,,4113,"Solanum tuberosum",,"cv. Amandine","none",,"PHIPO:0000015","PHIDO:0000339","BTO:0001400",,"interspecies interaction",30425688,"Reduced virulence"
"PHI:8655","E0SJT2",,204038,"Dickeya dadantii",198628,"EC3937","strain","gene mutation",,,4113,"Solanum tuberosum",,"cv. Amandine","none",,"PHIPO:0000004","PHIDO:0000339","BTO:0001400",,"interspecies interaction",30425688,"Unaffected pathogenicity"
"PHI:8656","E0SJT3",,204038,"Dickeya dadantii",198628,"EC3937","strain","gene mutation",,,4113,"Solanum tuberosum",,"cv. Amandine","none",,"PHIPO:0000004","PHIDO:0000339","BTO:0001400",,"interspecies interaction",30425688,"Unaffected pathogenicity"
"PHI:8654","Q9F496",,204038,"Dickeya dadantii",198628,"EC3937","strain","gene mutation",,,13427,"Cichorium intybus",,,"none",,"PHIPO:0000015","PHIDO:0000339","BTO:0000713",,"interspecies interaction",30425688,"Reduced virulence"
"PHI:8655","E0SJT2",,204038,"Dickeya dadantii",198628,"EC3937","strain","gene mutation",,,13427,"Cichorium intybus",,,"none",,"PHIPO:0000004","PHIDO:0000339","BTO:0000713",,"interspecies interaction",30425688,"Unaffected pathogenicity"
"PHI:8656","E0SJT3",,204038,"Dickeya dadantii",198628,"EC3937","strain","gene mutation",,,13427,"Cichorium intybus",,,"none",,"PHIPO:0000004","PHIDO:0000339","BTO:0000713",,"interspecies interaction",30425688,"Unaffected pathogenicity"
"PHI:8657","B3GXA0",,715,"Actinobacillus pleuropneumoniae",228399,4074,"none","gene deletion: full",,,10090,"Mus musculus",,"RAW 264.7 cell line","none",,"PHIPO:0000015","PHIDO:0000288","BTO:0000801","gene complementation","interspecies interaction",30419341,"Reduced virulence"
"PHI:8657","B3GXA0",,715,"Actinobacillus pleuropneumoniae",228399,4074,"none","gene deletion: full",,,9823,"Sus scrofa",,"SJPL","none",,"PHIPO:0000015","PHIDO:0000288","BTO:0004299","gene complementation","interspecies interaction",30419341,"Reduced virulence"
"PHI:8657","B3GXA0",,715,"Actinobacillus pleuropneumoniae",228399,4074,"none","gene deletion: full",,,9823,"Sus scrofa",,"PIEC","none",,"PHIPO:0000015","PHIDO:0000288","BTO:0004663","gene complementation","interspecies interaction",30419341,"Reduced virulence"
"PHI:8657","B3GXA0",,715,"Actinobacillus pleuropneumoniae",228399,4074,"none","gene deletion: full",,,9823,"Sus scrofa",,,"none",,"PHIPO:0000015","PHIDO:0000288","BTO:0000089; BTO:0000763; BTO:0001281","gene complementation","interspecies interaction",30419341,"Reduced virulence"
"PHI:8657","B3GXA0",,715,"Actinobacillus pleuropneumoniae",228399,4074,"none","gene deletion: full",,,10090,"Mus musculus",,"BALB/c","none",,"PHIPO:0000015","PHIDO:0000288","BTO:0000763; BTO:0001281","gene complementation","interspecies interaction",30419341,"Reduced virulence"
"PHI:8658","A3MZR5",,715,"Actinobacillus pleuropneumoniae",228399,4074,"none","gene deletion: full",,,10090,"Mus musculus",,"RAW 264.7 cell line","none",,"PHIPO:0000015","PHIDO:0000288","BTO:0000801","gene complementation","interspecies interaction",30419341,"Reduced virulence"
"PHI:8658","A3MZR5",,715,"Actinobacillus pleuropneumoniae",228399,4074,"none","gene deletion: full",,,9823,"Sus scrofa",,"SJPL","none",,"PHIPO:0000015","PHIDO:0000288","BTO:0004299","gene complementation","interspecies interaction",30419341,"Reduced virulence"
"PHI:8658","A3MZR5",,715,"Actinobacillus pleuropneumoniae",228399,4074,"none","gene deletion: full",,,9823,"Sus scrofa",,"PIEC","none",,"PHIPO:0000015","PHIDO:0000288","BTO:0004663","gene complementation","interspecies interaction",30419341,"Reduced virulence"
"PHI:8658","A3MZR5",,715,"Actinobacillus pleuropneumoniae",228399,4074,"none","gene deletion: full",,,9823,"Sus scrofa",,,"none",,"PHIPO:0000015","PHIDO:0000288","BTO:0000089; BTO:0000763; BTO:0001281","gene complementation","interspecies interaction",30419341,"Reduced virulence"
"PHI:8658","A3MZR5",,715,"Actinobacillus pleuropneumoniae",228399,4074,"none","gene deletion: full",,,10090,"Mus musculus",,"BALB/c","none",,"PHIPO:0000015","PHIDO:0000288","BTO:0000763; BTO:0001281","gene complementation","interspecies interaction",30419341,"Reduced virulence"
"PHI:8662","A0A1I7RYM0",,6326,"Bursaphelenchus xylophilus",,"AMA3","none","gene mutation: regulator",,,3350,"Pinus thunbergii",,,"none",,"PHIPO:0000280","PHIDO:0000277","BTO:0000713",,"interspecies interaction",30358407,"Effector"
"PHI:8662","A0A1I7RYM0",,6326,"Bursaphelenchus xylophilus",,"YW4","none","gene mutation: regulator",,,3350,"Pinus thunbergii",,,"none",,"PHIPO:0000280","PHIDO:0000277","BTO:0000713",,"interspecies interaction",30358407,"Effector"
"PHI:8662","A0A1I7RYM0",,6326,"Bursaphelenchus xylophilus",,"YW4","none","gene mutation: regulator",,,4100,"Nicotiana benthamiana",,,"none",,"PHIPO:0000280","PHIDO:0000277","BTO:0000713",,"interspecies interaction",30358407,"Effector"
"PHI:8663","L7N681",,1772,"Mycolicibacterium smegmatis",246196,"MC2 155","none",,,,10090,"Mus musculus",,"C57BL/6J","none",,"PHIPO:0000014",,"BTO:0000671; BTO:0000759; BTO:0000763; BTO:0001034; BTO:0001281","recombinant protein","interspecies interaction",30366126,"Increased virulence"
"PHI:8664","Q8Z3Y8",,28901,"Salmonella enterica",209261,"subsp. enterica serovar Typhi strain Ty2","none","gene mutation",,,9606,"Homo sapiens",,"HT-29 cell line","none",,"PHIPO:0000015","PHIDO:0000321","BTO:0000035",,"interspecies interaction",30426648,"Reduced virulence"
"PHI:8664","Q8Z3Y8",,28901,"Salmonella enterica",209261,"subsp. enterica serovar Typhi strain Ty2","none","gene mutation",,,10090,"Mus musculus",,"BALB/c","none",,"PHIPO:0000015","PHIDO:0000321","BTO:0000166; BTO:0000759; BTO:0001281",,"interspecies interaction",30426648,"Reduced virulence"
"PHI:8665","Q8Z489",,28901,"Salmonella enterica",209261,"subsp. enterica serovar Typhi strain Ty2","none","gene mutation",,,9606,"Homo sapiens",,"HT-29 cell line","none",,"PHIPO:0000015","PHIDO:0000321","BTO:0000035",,"interspecies interaction",30426648,"Reduced virulence"
"PHI:8667","I1R9C7",,5518,"Fusarium graminearum",,,"none","gene deletion: cluster",,,4565,"Triticum aestivum",,"cv. Ning 7840","none",,"PHIPO:0000014",,"BTO:0001228","gene complementation","interspecies interaction",30465882,"Increased virulence"
"PHI:8667","I1R9C7",,5518,"Fusarium graminearum",,,"none",,,,4565,"Triticum aestivum",,"cv. Auburn","none",,"PHIPO:0000014",,"BTO:0001228","heterologous expression of recombinant protein","interspecies interaction",30465882,"Increased virulence"
"PHI:8667","I1R9C7",,5518,"Fusarium graminearum",,,"none",,,,4565,"Triticum aestivum",,"cv. Bess","none",,"PHIPO:0000014",,"BTO:0001228","heterologous expression of recombinant protein","interspecies interaction",30465882,"Increased virulence"
"PHI:8667","I1R9C7",,5518,"Fusarium graminearum",,,"none",,,,4565,"Triticum aestivum",,"cv. BR34","none",,"PHIPO:0000014",,"BTO:0001228","heterologous expression of recombinant protein","interspecies interaction",30465882,"Increased virulence"
"PHI:8667","I1R9C7",,5518,"Fusarium graminearum",,,"none",,,,4565,"Triticum aestivum",,"cv. Sumai 3","none",,"PHIPO:0000015",,"BTO:0001228","heterologous expression of recombinant protein","interspecies interaction",30465882,"Reduced virulence"
"PHI:8667","I1R9C7",,5518,"Fusarium graminearum",,,"none",,,,4565,"Triticum aestivum",,"cv. Grandin","none",,"PHIPO:0000015",,"BTO:0001228","heterologous expression of recombinant protein","interspecies interaction",30465882,"Reduced virulence"
"PHI:8667","I1R9C7",,5518,"Fusarium graminearum",,,"none",,,,4565,"Triticum aestivum",,"cv. ND495","none",,"PHIPO:0000015",,"BTO:0001228","heterologous expression of recombinant protein","interspecies interaction",30465882,"Reduced virulence"
"PHI:8667","I1R9C7",,5518,"Fusarium graminearum",,,"none",,,,4565,"Triticum aestivum",,"cv. Russ","none",,"PHIPO:0000015",,"BTO:0001228","heterologous expression of recombinant protein","interspecies interaction",30465882,"Reduced virulence"
"PHI:8670","G2XJR0",,27337,"Verticillium dahliae",,"70V","none","gene deletion: full",,,4081,"Solanum lycopersicum",,"Never-ripe mutant","none",,"PHIPO:0000015; PHIPO:0000956; PHIPO:0000051","PHIDO:0000382","BTO:0000713","gene complementation","interspecies interaction",30520678,"Reduced virulence"
"PHI:8670","G2XJR0",,27337,"Verticillium dahliae",,"70V","none","gene mutation: regulator",,,4081,"Solanum lycopersicum",,"Never-ripe mutant","none",,"PHIPO:0000014; PHIPO:0000956; PHIPO:0000051","PHIDO:0000382","BTO:0000713",,"interspecies interaction",30520678,"Increased virulence"
"PHI:8670","G2XJR0",,27337,"Verticillium dahliae",,"70V","none","gene deletion: full",,,4081,"Solanum lycopersicum",,"cv. Ailsa Craig","none",,"PHIPO:0000015; PHIPO:0000956; PHIPO:0000051","PHIDO:0000382","BTO:0000713","gene complementation","interspecies interaction",30520678,"Reduced virulence"
"PHI:8670","G2XJR0",,27337,"Verticillium dahliae",,"70V","none","gene mutation: regulator",,,4081,"Solanum lycopersicum",,"cv. Ailsa Craig","none",,"PHIPO:0000014; PHIPO:0000956; PHIPO:0000051","PHIDO:0000382","BTO:0000713",,"interspecies interaction",30520678,"Increased virulence"
"PHI:8670","G2XJR0",,27337,"Verticillium dahliae",,"70V","none","gene deletion: full",,,4111,"Solanum melongena",,"cv. Black Beauty","none",,"PHIPO:0000015; PHIPO:0000956; PHIPO:0000051","PHIDO:0000382","BTO:0000713","gene complementation","interspecies interaction",30520678,"Reduced virulence"
"PHI:8670","G2XJR0",,27337,"Verticillium dahliae",,"70V","none","gene mutation: regulator",,,4111,"Solanum melongena",,"cv. Black Beauty","none",,"PHIPO:0000014; PHIPO:0000956; PHIPO:0000051","PHIDO:0000382","BTO:0000713",,"interspecies interaction",30520678,"Increased virulence"
"PHI:8671","J4KQS2",,176275,"Beauveria bassiana",655819,"ARSEF 2860","strain","gene deletion: full",,,7137,"Galleria mellonella",,,"none",,"PHIPO:0000004; PHIPO:0000059","PHIDO:0000394","BTO:0000707","gene complementation","interspecies interaction",30552186,"Unaffected pathogenicity"
"PHI:8672","J4WK53",,176275,"Beauveria bassiana",655819,"ARSEF 2860","strain","gene deletion: full",,,7137,"Galleria mellonella",,,"none",,"PHIPO:0000004; PHIPO:0000059","PHIDO:0000394","BTO:0000707","gene complementation","interspecies interaction",30552186,"Unaffected pathogenicity"
"PHI:8673","J4US35",,176275,"Beauveria bassiana",655819,"ARSEF 2860","strain","gene deletion: full",,,7137,"Galleria mellonella",,,"none",,"PHIPO:0000004; PHIPO:0000059","PHIDO:0000394","BTO:0000707","gene complementation","interspecies interaction",30552186,"Unaffected pathogenicity"
"PHI:8674","C5AFJ6",,337,"Burkholderia glumae",626418,"BGR1","strain","gene deletion: full",,,4530,"Oryza sativa",,"var. glutinosa cv. Blanco","none",,"PHIPO:0000015",,"BTO:0000628","gene complementation","interspecies interaction",30369851,"Reduced virulence"
"PHI:8675","C5AGX2",,337,"Burkholderia glumae",626418,"BGR1","strain","gene deletion: full",,,4530,"Oryza sativa",,"var. glutinosa cv. Blanco","none",,"PHIPO:0000015",,"BTO:0000628","gene complementation","interspecies interaction",30369851,"Reduced virulence"
"PHI:8676","Q8NL12",,346,"Xanthomonas citri",1203463,"subsp. citri strain 306","none","gene mutation; gene complementation",,,2708,"Citrus x limon",,"cv. Genova","none",,"PHIPO:0000015",,"BTO:0000713",,"interspecies interaction",30537413,"Reduced virulence"
"PHI:8677","Q8Y282",,305,"Ralstonia solanacearum",267608,"GMI1000","strain","gene deletion: full",,,4081,"Solanum lycopersicum",,"cv. Hongyangli","none",,"PHIPO:0000010","PHIDO:0000035","BTO:0000713; BTO:0001041","gene complementation","interspecies interaction",30540527,"Loss of pathogenicity"
"PHI:8677","Q8Y282",,305,"Ralstonia solanacearum",267608,"GMI1000","strain","gene mutation; gene complementation",,,4081,"Solanum lycopersicum",,"cv. Hongyangli","none",,"PHIPO:0000010","PHIDO:0000035","BTO:0000713; BTO:0001041",,"interspecies interaction",30540527,"Loss of pathogenicity"
"PHI:8677","Q8Y282",,305,"Ralstonia solanacearum",267608,"GMI1000","strain","gene mutation; gene complementation",,,4081,"Solanum lycopersicum",,"cv. Hongyangli","none",,"PHIPO:0000010","PHIDO:0000035","BTO:0000713; BTO:0001041",,"interspecies interaction",30540527,"Loss of pathogenicity"
"PHI:8677","Q8Y282",,305,"Ralstonia solanacearum",267608,"GMI1000","strain","gene mutation; gene complementation",,,4081,"Solanum lycopersicum",,"cv. Hongyangli","none",,"PHIPO:0000010","PHIDO:0000035","BTO:0000713; BTO:0001041",,"interspecies interaction",30540527,"Loss of pathogenicity"
"PHI:8678","A0A0T9VTM6",,28901,"Salmonella enterica",90371,"subsp. enterica serovar Typhimurium strain ATCC 14028","none","gene deletion: full",,,9606,"Homo sapiens",,"HeLa cell line","none",,"PHIPO:0000280",,"BTO:0000414",,"interspecies interaction",30532744,"Effector"
"PHI:8679","Q8XQT8",,305,"Ralstonia solanacearum",267608,"GMI1000","strain",,,,3702,"Arabidopsis thaliana",,,"none",,"PHIPO:0000280","PHIDO:0000035","BTO:0000713","overexpressing transgenic plants","interspecies interaction",30499216,"Effector"
"PHI:8679","Q8XQT8",,305,"Ralstonia solanacearum",267608,"GMI1000","strain",,,,3702,"Arabidopsis thaliana",,,"none",,"PHIPO:0000280","PHIDO:0000035","BTO:0000713","overexpressing transgenic plants","interspecies interaction",30499216,"Effector"
"PHI:8686","B2SU53",,347,"Xanthomonas oryzae",360094,"pv. oryzae strain PXO99A","strain","gene mutation; gene complementation",,,4530,"Oryza sativa",,"subsp. Xian cv. IR24","none",,"PHIPO:0000280","PHIDO:0000028","BTO:0000713",,"interspecies interaction",30499169,"Effector"
"PHI:8686","B2SU53",,347,"Xanthomonas oryzae",129394,"pv. oryzicola strain RS105","none","gene mutation; gene complementation",,,4530,"Oryza sativa",,"subsp. Xian cv. IR24","none",,"PHIPO:0000280","PHIDO:0000312","BTO:0000713",,"interspecies interaction",30499169,"Effector"
"PHI:8687","J9VVF7",,5207,"Cryptococcus neoformans",235443,"H99","strain","gene deletion: full",,,10090,"Mus musculus",,"J774A1 cell line","none",,"PHIPO:0000004","PHIDO:0000159","BTO:0000804","gene complementation","interspecies interaction",30425151,"Unaffected pathogenicity"
"PHI:8687","J9VVF7",,5207,"Cryptococcus neoformans",235443,"H99","strain","gene deletion: full",,,10090,"Mus musculus",,"A/J","none",,"PHIPO:0000004","PHIDO:0000159","BTO:0000763","gene complementation","interspecies interaction",30425151,"Unaffected pathogenicity"
"PHI:8687","J9VVF7",,5207,"Cryptococcus neoformans",1396488,"XL280","none","gene deletion: full",,,10090,"Mus musculus",,"A/J","none",,"PHIPO:0000004","PHIDO:0000159","BTO:0000763","gene complementation","interspecies interaction",30425151,"Unaffected pathogenicity"
"PHI:8688","D2TU76",,67825,"Citrobacter rodentium",,"DBS100","none","gene deletion: full",,,10090,"Mus musculus",,"C3H/HeJ","none",,"PHIPO:0000015","PHIDO:0000091","BTO:0000545","gene complementation","interspecies interaction",30536519,"Reduced virulence"
"PHI:8689","D2TU77",,67825,"Citrobacter rodentium",,"DBS100","none","gene deletion: full",,,10090,"Mus musculus",,"C3H/HeJ","none",,"PHIPO:0000015","PHIDO:0000091","BTO:0000545","gene complementation","interspecies interaction",30536519,"Reduced virulence"
"PHI:8690","D2TI49",,67825,"Citrobacter rodentium",,"DBS100","none","gene deletion: full",,,10090,"Mus musculus",,"C3H/HeJ","none",,"PHIPO:0000010","PHIDO:0000091","BTO:0000545","gene complementation","interspecies interaction",30536519,"Loss of pathogenicity"
"PHI:8691","D2TUX9",,67825,"Citrobacter rodentium",,"DBS100","none","gene deletion: full",,,10090,"Mus musculus",,"C3H/HeJ","none",,"PHIPO:0000010","PHIDO:0000091","BTO:0000545","gene complementation","interspecies interaction",30536519,"Loss of pathogenicity"
"PHI:8692","D2TUY0",,67825,"Citrobacter rodentium",,"DBS100","none","promoter mutation",,,10090,"Mus musculus",,"C3H/HeJ","none",,"PHIPO:0000004","PHIDO:0000091","BTO:0000545",,"interspecies interaction",30536519,"Unaffected pathogenicity"
"PHI:8693","Q5AF03",,5476,"Candida albicans",237561,"SC5314","strain","gene disruption",,,10090,"Mus musculus",,"BALB/c","none",,"PHIPO:0000010","PHIDO:0000120","BTO:0003973","gene complementation","interspecies interaction",30476034,"Loss of pathogenicity"
"PHI:8695","G4N6P6",,318829,"Magnaporthe oryzae",,"Guy11","none","gene deletion: full",,,4530,"Oryza sativa",,"cv. CO-39","none",,"PHIPO:0000015; PHIPO:0000024; PHIPO:0000052","PHIDO:0000315","BTO:0001228; BTO:0005094","gene complementation","interspecies interaction",30426699,"Reduced virulence"
"PHI:8695","G4N6P6",,318829,"Magnaporthe oryzae",,"Guy11","none","gene mutation: characterised",,,4530,"Oryza sativa",,"cv. CO-39","none",,"PHIPO:0000015","PHIDO:0000315","BTO:0001228",,"interspecies interaction",30426699,"Reduced virulence"
"PHI:8696","G8B820",,5480,"Candida parapsilosis",,"CLIB 214","none","gene mutation",,,7137,"Galleria mellonella",,,"none",,"PHIPO:0000015","PHIDO:0000120","BTO:0000707",,"interspecies interaction",30429225,"Reduced virulence"
"PHI:8696","G8B820",,5480,"Candida parapsilosis",,"CLIB 214","none","gene mutation",,,7137,"Galleria mellonella",,,"none",,"PHIPO:0000015","PHIDO:0000120","BTO:0000707",,"interspecies interaction",30429225,"Reduced virulence"
"PHI:8696","G8B820",,5480,"Candida parapsilosis",,"CLIB 214","none","gene mutation",,,7137,"Galleria mellonella",,,"none",,"PHIPO:0000015","PHIDO:0000120","BTO:0000707",,"interspecies interaction",30429225,"Reduced virulence"
"PHI:8696","G8B820",,5480,"Candida parapsilosis",,"CLIB 214","none","gene mutation",,,10090,"Mus musculus",,"BALB/c","none",,"PHIPO:0000015","PHIDO:0000120","BTO:0000142; BTO:0000671; BTO:0000759; BTO:0001281",,"interspecies interaction",30429225,"Reduced virulence"
"PHI:8696","G8B820",,5480,"Candida parapsilosis",,"CLIB 214","none","gene mutation",,,10090,"Mus musculus",,"BALB/c","none",,"PHIPO:0000015","PHIDO:0000120","BTO:0000142; BTO:0000671; BTO:0000759; BTO:0001281",,"interspecies interaction",30429225,"Reduced virulence"
"PHI:8696","G8B820",,5480,"Candida parapsilosis",,"CLIB 214","none","gene mutation",,,10090,"Mus musculus",,"BALB/c","none",,"PHIPO:0000015","PHIDO:0000120","BTO:0000142; BTO:0000671; BTO:0000759; BTO:0001281",,"interspecies interaction",30429225,"Reduced virulence"
"PHI:8697","C6ZEZ6",,318829,"Magnaporthe oryzae",,"RB22","none","gene mutation",,,4530,"Oryza sativa",,"cv. Nipponbare","none",,"PHIPO:0000280","PHIDO:0000315","BTO:0000713","transgenic plant","interspecies interaction",30548752,"Effector"
